,Date,Close,Volume
1,2023.02.02,63500.0,23285983.0
13,2023.02.03,63800.0,15194598.0
12,2023.02.06,61600.0,15529356.0
11,2023.02.07,61900.0,14491039.0
10,2023.02.08,63100.0,12243125.0
9,2023.02.09,63000.0,12164865.0
5,2023.02.10,62800.0,9382576.0
4,2023.02.13,62900.0,10730362.0
3,2023.02.14,63200.0,9126664.0
2,2023.02.15,62200.0,13208103.0
1,2023.02.16,63700.0,13798831.0
13,2023.02.17,62600.0,10791265.0
12,2023.02.20,62700.0,12908073.0
11,2023.02.21,62100.0,7665046.0
10,2023.02.22,61100.0,11959088.0
9,2023.02.23,62000.0,13047099.0
5,2023.02.24,61300.0,10308143.0
4,2023.02.27,60500.0,11155697.0
3,2023.02.28,60600.0,13715861.0
2,2023.03.02,60800.0,13095682.0
1,2023.03.03,60600.0,8726253.0
